idx,x,y,z,reachable
164,0.45,0.05,1.05,0
165,0.45,0.05,1.1,0
166,0.45,0.05,1.15,0
167,0.45,0.05,1.2,0
168,0.45,0.05,1.25,0
169,0.5,-0.7,0.95,0
170,0.5,-0.7,1.0,0
171,0.5,-0.7,1.05,0
172,0.5,-0.7,1.1,0
173,0.5,-0.7,1.15,0
174,0.5,-0.7,1.2,0
175,0.5,-0.7,1.25,0
176,0.5,-0.6,0.95,0
177,0.5,-0.6,1.0,0
178,0.5,-0.6,1.05,0
179,0.5,-0.6,1.1,0
180,0.5,-0.6,1.15,0
181,0.5,-0.6,1.2,0
182,0.5,-0.6,1.25,0
183,0.5,-0.5,0.95,skip
184,0.5,-0.5,1.0,skip
185,0.5,-0.5,1.05,skip
186,0.5,-0.5,1.1,skip
187,0.5,-0.5,1.15,0
188,0.5,-0.5,1.2,0
189,0.5,-0.5,1.25,0
190,0.5,-0.4,0.95,skip
191,0.5,-0.4,1.0,skip
192,0.5,-0.4,1.05,skip
193,0.5,-0.4,1.1,skip
194,0.5,-0.4,1.15,skip
195,0.5,-0.4,1.2,0
196,0.5,-0.4,1.25,0
197,0.5,-0.3,0.95,skip
198,0.5,-0.3,1.0,skip
199,0.5,-0.3,1.05,skip
200,0.5,-0.3,1.1,skip
201,0.5,-0.3,1.15,0
202,0.5,-0.3,1.2,0
203,0.5,-0.3,1.25,0
204,0.5,-0.2,0.95,0
205,0.5,-0.2,1.0,0
206,0.5,-0.2,1.05,0
207,0.5,-0.2,1.1,0
208,0.5,-0.2,1.15,0
209,0.5,-0.2,1.2,0
210,0.5,-0.2,1.25,0
211,0.5,-0.1,0.95,0
212,0.5,-0.1,1.0,0
213,0.5,-0.1,1.05,0
214,0.5,-0.1,1.1,0
215,0.5,-0.1,1.15,0
216,0.5,-0.1,1.2,0
217,0.5,-0.1,1.25,0
218,0.5,0.05,0.95,0
219,0.5,0.05,1.0,0
220,0.5,0.05,1.05,0
221,0.5,0.05,1.1,0
222,0.5,0.05,1.15,0
223,0.5,0.05,1.2,0
224,0.5,0.05,1.25,0
225,0.55,-0.7,0.95,0
226,0.55,-0.7,1.0,0
227,0.55,-0.7,1.05,0
228,0.55,-0.7,1.1,0
229,0.55,-0.7,1.15,0
230,0.55,-0.7,1.2,0
231,0.55,-0.7,1.25,0
232,0.55,-0.6,0.95,0
233,0.55,-0.6,1.0,0
234,0.55,-0.6,1.05,0
235,0.55,-0.6,1.1,0
236,0.55,-0.6,1.15,0
237,0.55,-0.6,1.2,0
238,0.55,-0.6,1.25,0
239,0.55,-0.5,0.95,skip
240,0.55,-0.5,1.0,skip
241,0.55,-0.5,1.05,skip
242,0.55,-0.5,1.1,0
243,0.55,-0.5,1.15,0
244,0.55,-0.5,1.2,0
245,0.55,-0.5,1.25,0
246,0.55,-0.4,0.95,skip
247,0.55,-0.4,1.0,skip
248,0.55,-0.4,1.05,skip
249,0.55,-0.4,1.1,skip
250,0.55,-0.4,1.15,0
251,0.55,-0.4,1.2,0
252,0.55,-0.4,1.25,0
253,0.55,-0.3,0.95,skip
254,0.55,-0.3,1.0,skip
255,0.55,-0.3,1.05,skip
256,0.55,-0.3,1.1,0
257,0.55,-0.3,1.15,0
258,0.55,-0.3,1.2,0
259,0.55,-0.3,1.25,0
260,0.55,-0.2,0.95,0
261,0.55,-0.2,1.0,0
262,0.55,-0.2,1.05,0
263,0.55,-0.2,1.1,0
264,0.55,-0.2,1.15,0
265,0.55,-0.2,1.2,0
266,0.55,-0.2,1.25,0
267,0.55,-0.1,0.95,0
268,0.55,-0.1,1.0,0
269,0.55,-0.1,1.05,0
270,0.55,-0.1,1.1,0
271,0.55,-0.1,1.15,0
272,0.55,-0.1,1.2,0
273,0.55,-0.1,1.25,0
274,0.55,0.05,0.95,0
275,0.55,0.05,1.0,0
276,0.55,0.05,1.05,0
277,0.55,0.05,1.1,0
278,0.55,0.05,1.15,0
279,0.55,0.05,1.2,0
280,0.55,0.05,1.25,0
281,0.6,-0.7,0.95,0
282,0.6,-0.7,1.0,0
283,0.6,-0.7,1.05,0
284,0.6,-0.7,1.1,0
285,0.6,-0.7,1.15,0
286,0.6,-0.7,1.2,0
287,0.6,-0.7,1.25,0
288,0.6,-0.6,0.95,0
289,0.6,-0.6,1.0,0
290,0.6,-0.6,1.05,0
291,0.6,-0.6,1.1,0
292,0.6,-0.6,1.15,0
293,0.6,-0.6,1.2,0
294,0.6,-0.6,1.25,0
295,0.6,-0.5,0.95,skip
296,0.6,-0.5,1.0,skip
297,0.6,-0.5,1.05,skip
298,0.6,-0.5,1.1,0
299,0.6,-0.5,1.15,0
300,0.6,-0.5,1.2,0
301,0.6,-0.5,1.25,0
302,0.6,-0.4,0.95,skip
303,0.6,-0.4,1.0,skip
304,0.6,-0.4,1.05,skip
305,0.6,-0.4,1.1,skip
306,0.6,-0.4,1.15,0
307,0.6,-0.4,1.2,0
308,0.6,-0.4,1.25,0
309,0.6,-0.3,0.95,0
310,0.6,-0.3,1.0,skip
311,0.6,-0.3,1.05,0
312,0.6,-0.3,1.1,0
313,0.6,-0.3,1.15,0
314,0.6,-0.3,1.2,0
315,0.6,-0.3,1.25,0
316,0.6,-0.2,0.95,0
317,0.6,-0.2,1.0,0
318,0.6,-0.2,1.05,0
319,0.6,-0.2,1.1,0
320,0.6,-0.2,1.15,0
321,0.6,-0.2,1.2,0
322,0.6,-0.2,1.25,0
323,0.6,-0.1,0.95,0
324,0.6,-0.1,1.0,0
325,0.6,-0.1,1.05,0
326,0.6,-0.1,1.1,0
327,0.6,-0.1,1.15,0
328,0.6,-0.1,1.2,0
329,0.6,-0.1,1.25,0
330,0.6,0.05,0.95,0
331,0.6,0.05,1.0,0
332,0.6,0.05,1.05,0
333,0.6,0.05,1.1,0
334,0.6,0.05,1.15,0
335,0.6,0.05,1.2,0
336,0.6,0.05,1.25,0
337,0.65,-0.7,0.95,0
338,0.65,-0.7,1.0,0
339,0.65,-0.7,1.05,0
340,0.65,-0.7,1.1,0
341,0.65,-0.7,1.15,0
342,0.65,-0.7,1.2,0
343,0.65,-0.7,1.25,0
344,0.65,-0.6,0.95,0
345,0.65,-0.6,1.0,0
346,0.65,-0.6,1.05,0
347,0.65,-0.6,1.1,0
348,0.65,-0.6,1.15,0
349,0.65,-0.6,1.2,0
350,0.65,-0.6,1.25,0
351,0.65,-0.5,0.95,0
352,0.65,-0.5,1.0,0
353,0.65,-0.5,1.05,0
354,0.65,-0.5,1.1,0
355,0.65,-0.5,1.15,0
356,0.65,-0.5,1.2,0
357,0.65,-0.5,1.25,0
358,0.65,-0.4,0.95,0
359,0.65,-0.4,1.0,0
360,0.65,-0.4,1.05,0
361,0.65,-0.4,1.1,0
362,0.65,-0.4,1.15,0
363,0.65,-0.4,1.2,0
364,0.65,-0.4,1.25,0
365,0.65,-0.3,0.95,0
366,0.65,-0.3,1.0,0
367,0.65,-0.3,1.05,0
368,0.65,-0.3,1.1,0
369,0.65,-0.3,1.15,0
370,0.65,-0.3,1.2,0
371,0.65,-0.3,1.25,0
372,0.65,-0.2,0.95,0
373,0.65,-0.2,1.0,0
374,0.65,-0.2,1.05,0
375,0.65,-0.2,1.1,0
376,0.65,-0.2,1.15,0
377,0.65,-0.2,1.2,0
378,0.65,-0.2,1.25,0
379,0.65,-0.1,0.95,0
380,0.65,-0.1,1.0,0
381,0.65,-0.1,1.05,0
382,0.65,-0.1,1.1,0
383,0.65,-0.1,1.15,0
384,0.65,-0.1,1.2,0
385,0.65,-0.1,1.25,0
386,0.65,0.05,0.95,0
387,0.65,0.05,1.0,0
388,0.65,0.05,1.05,0
389,0.65,0.05,1.1,0
390,0.65,0.05,1.15,0
391,0.65,0.05,1.2,0
392,0.65,0.05,1.25,0
