candidate,cx,cy,cz,radius,az_deg,ik_col,motion,attempts
ik3_x035_y-010_z075,0.35,-0.10,0.75,0.60,270,0,0,0
ik3_x035_y-010_z075,0.35,-0.10,0.75,0.60,30,0,0,0
ik3_x035_y-010_z075,0.35,-0.10,0.75,0.60,330,0,0,0
ik3_x035_y-010_z075,0.35,-0.10,0.75,0.60,60,0,0,0
ik3_x035_y-010_z075,0.35,-0.10,0.75,0.60,300,0,0,0
ik3_x035_y-010_z075,0.35,-0.10,0.75,0.60,150,0,0,0
ik3_x035_y-010_z075,0.35,-0.10,0.75,0.60,210,0,0,0
ik3_x035_y-010_z075,0.35,-0.10,0.75,0.60,120,0,0,0
ik3_x035_y-010_z075,0.35,-0.10,0.75,0.60,240,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,0,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,180,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,90,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,270,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,30,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,330,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,60,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,300,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,150,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,210,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,120,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.40,240,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,0,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,180,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,90,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,270,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,30,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,330,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,60,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,300,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,150,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,210,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,120,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.50,240,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,0,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,180,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,90,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,270,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,30,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,330,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,60,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,300,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,150,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,210,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,120,0,0,0
ik4_x030_y-010_z095,0.30,-0.10,0.95,0.60,240,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,0,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,180,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,90,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,270,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,30,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,330,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,60,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,300,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,150,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,210,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,120,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.40,240,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,0,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,180,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,90,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,270,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,30,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,330,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,60,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,300,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,150,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,210,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,120,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.50,240,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,0,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,180,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,90,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,270,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,30,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,330,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,60,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,300,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,150,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,210,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,120,0,0,0
ik5_x040_y-010_z075,0.40,-0.10,0.75,0.60,240,0,0,0
